,date,symbol,volume,start,stop,initial_imb,paired_imb,direction,open_price,spread_at_open,close_price,moc_close_price,close_status,spread_at_close,max_pnl_time,max_pnl_price,min_pnl_time,min_pnl_price,position_size,reverse_count,imbBeforeReversePct,imbAfterReversePct,deltaImbPct,delta_move,delta_move_pct,position_pnl
38,2020-11-20,DELL,1357701,2020-11-20 15:59:50,2020-11-20 16:00:00,10645,196064,Short,68.45,0.03999999999999204,68.5,68.34,moc,0.0,2020-11-20 15:59:59.882098,68.35,2020-11-20 15:59:55.882235,68.51,100.0,4,0.784045971830322,-2.8618230376202125,-3.6458690094505344,0.10999999999999943,0.16070124178232204,10.999999999999943
39,2020-11-20,DKS,1961233,2020-11-20 15:59:01,2020-11-20 16:00:00,-23666,353610,Long,58.31,0.010000000000005116,58.43,58.51,moc,0.0,2020-11-20 15:59:31.273993,58.52,2020-11-20 15:59:01.359330,58.3,500.0,1,-1.2066898731563256,0.18529159972323533,1.391981472879561,0.19999999999999574,0.34299434059337286,99.99999999999787
40,2020-11-20,DTE,1241824,2020-11-20 15:55:00,2020-11-20 15:56:00,30529,133808,Short,129.75,0.05000000000001137,129.77,,market,0.020000000000010232,2020-11-20 15:55:21.933854,129.7,2020-11-20 15:55:00.232718,129.8,207.0,1,2.4583999020795217,-0.06587084804287886,-2.5242707501224007,-0.020000000000010232,-0.015414258188832549,-4.140000000002118
41,2020-11-20,DUK,2972663,2020-11-20 15:55:00,2020-11-20 15:56:00,-433432,1335438,Long,92.35,0.030000000000001137,92.44,,market,0.030000000000001137,2020-11-20 15:55:58.941712,92.45,2020-11-20 15:55:00.587840,92.32,505.0,1,-14.580596589657153,5.839074257660555,20.419670847317708,0.09000000000000341,0.09745533297239135,45.45000000000172
42,2020-11-20,EIX,1861019,2020-11-20 15:59:24,2020-11-20 16:00:00,-407,275082,Long,63.31,0.020000000000003126,63.27,63.38,moc,0.0,2020-11-20 15:59:28.513281,63.36,2020-11-20 15:59:57.502978,63.27,143.0,8,-0.021869739105296614,2.6714396790145614,2.693309418119858,0.07000000000000028,0.11056705101879684,10.01000000000004
43,2020-11-20,EL,1159180,2020-11-20 15:59:03,2020-11-20 16:00:00,-10168,206559,Long,240.57,0.06999999999999318,240.41,240.56,moc,0.0,2020-11-20 15:59:31.266435,240.59,2020-11-20 15:59:18.902426,240.38,100.0,3,-0.8771717938542763,0.19945133628944597,1.0766231301437224,-0.009999999999990905,-0.00415679428024729,-0.9999999999990905
44,2020-11-20,ELAN,4393545,2020-11-20 15:59:47,2020-11-20 16:00:00,-12389,264045,Long,29.45,0.05000000000000071,29.4,29.42,moc,0.0,2020-11-20 15:59:50.114031,29.44,2020-11-20 15:59:49.218230,29.38,600.0,14,-0.281981862027133,0.7834220430199303,1.0654039050470634,-0.029999999999997584,-0.10186757215618875,-17.99999999999855
45,2020-11-20,EQR,3256327,2020-11-20 15:55:00,2020-11-20 15:56:00,33563,307024,Short,60.45,0.00999999999999801,60.61,,market,0.00999999999999801,2020-11-20 15:55:03.379566,60.43,2020-11-20 15:55:27.991740,60.62,113.0,1,1.0307011550129948,-0.26907617078997287,-1.2997773258029677,-0.1599999999999966,-0.26468155500413,-18.079999999999615
46,2020-11-20,EQT,6058409,2020-11-20 15:55:00,2020-11-20 15:56:00,120759,370334,Short,14.71,0.009999999999999787,14.73,,market,0.009999999999999787,2020-11-20 15:55:00.251616,14.72,2020-11-20 15:55:30.539598,14.74,1172.0,1,1.9932460816032724,-0.05768841291500788,-2.0509344945182804,-0.019999999999999574,-0.13596193065941245,-23.4399999999995
47,2020-11-20,ETN,1558942,2020-11-20 15:55:00,2020-11-20 15:56:00,-34738,179284,Long,117.48,0.010000000000005116,117.62,,market,0.030000000000001137,2020-11-20 15:55:57.950041,117.62,2020-11-20 15:55:05.119616,117.44,100.0,1,-2.2283061204329604,0.41861724169340486,2.6469233621263655,0.14000000000000057,0.11916922029281628,14.000000000000057
